srlkk,metric,sentence
,0,Бұл – тек дамушы елдердің ғана басында бар проблема емес.
"{'verbs': [{'verb': 'жазып', 'description': {'V': 'жазып'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}, {'verb': 'қазасына', 'description': {'V': 'қазасына', 'Arg(траектория)': 'материалын'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'Arg(траектория)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(траектория)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Қазанның', '16-сында', 'жемқорлық', 'туралы', 'әшкерелеуші', 'материал', 'жазып', 'жүрген', 'мальталық', 'журналист', 'Дафна', 'Каруана', 'Галицияның', 'қазасына', 'бір', 'жыл', 'болады.', 'Ол', 'өз', 'өліміне', 'себепкер', 'болды', 'делінген', 'материалын', 'тапсырғаннан', 'бірер', 'минут', 'өткен', 'соң', 'көлікке', 'қойылған', 'бомба', 'жарылысынан', 'мерт', 'болды.'], 'metric': 0.37}",0,Қазанның 16-сында жемқорлық туралы әшкерелеуші материал жазып жүрген мальталық журналист Дафна Каруана Галицияның қазасына бір жыл болады. Ол өз өліміне себепкер болды делінген материалын тапсырғаннан бірер минут өткен соң көлікке қойылған бомба жарылысынан мерт болды.
"{'verbs': [{'verb': '', 'description': {'Arg(контрагент социального отношения)': 'Оған'}, 'tags': ['Arg(контрагент социального отношения)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Оған', 'қастандық', 'жасаған', 'үш', 'адамға', 'ресми', 'айып', 'тағылды,', 'дегенмен', 'тапсырыс', 'беруші', 'әлі', 'бостандықта.'], 'metric': 0.25}",0,"Оған қастандық жасаған үш адамға ресми айып тағылды, дегенмен тапсырыс беруші әлі бостандықта."
"{'verbs': [{'verb': 'байланысты', 'description': {'V': 'байланысты', 'Arg(содержание действия)': 'өлтірілуіне'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(содержание действия)', 'V', 'O', 'O', 'O', 'O']}], 'words': ['Мальта', 'сияқты', 'Еуропа', 'одағына', 'мүше', 'ел', '–', 'Словакия', 'Куцяк', 'пен', 'оның', 'қалыңдығы', 'Мартина', 'Кушнированың', 'Братислава', 'маңында', 'айуандықпен', 'өлтірілуіне', 'байланысты', 'әділ', 'сот', 'өткізе', 'алмады.'], 'metric': 0.5}",0,Мальта сияқты Еуропа одағына мүше ел – Словакия Куцяк пен оның қалыңдығы Мартина Кушнированың Братислава маңында айуандықпен өлтірілуіне байланысты әділ сот өткізе алмады.
"{'verbs': [{'verb': '', 'description': {'Arg(пациенс)': 'адамды', 'Arg(эталон)': 'іс', 'Arg(место)': 'елдегі'}, 'tags': ['O', 'O', 'Arg(эталон)', 'O', 'O', 'Arg(пациенс)', 'O', 'Arg(место)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Полиция', 'бұл', 'іс', 'бойынша', 'бірнеше', 'адамды', 'тұтқындағанымен,', 'елдегі', 'мафияға', 'қатысты', 'айыптаулардың', 'терең', 'қазбаланғанын', 'қаламағандардың', 'барлығы', 'табылған', 'жоқ.'], 'metric': 0.5}",0,"Полиция бұл іс бойынша бірнеше адамды тұтқындағанымен, елдегі мафияға қатысты айыптаулардың терең қазбаланғанын қаламағандардың барлығы табылған жоқ."
"{'verbs': [{'verb': 'дегенге', 'description': {'V': 'дегенге', 'Arg(субъект восприятия)': 'Арабиясы', 'Arg(стимул)': 'қарасақ,', 'Arg(конечная точка)': 'тартылады'}, 'tags': ['O', 'Arg(субъект восприятия)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(стимул)', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(конечная точка)', 'V', 'O', 'O']}], 'words': ['Сауд', 'Арабиясы', 'журналист,', '“Вашингтон', 'пост”', 'шолушысы', 'Жамал', 'Хашоггидің', 'корольдіктің', 'Стамбұлдағы', 'консулдығында', 'өлтірілгенін', 'мойындағанымен,', 'жүріп', 'жатқан', 'тергеу', 'процесіне', 'қарасақ,', 'оның', 'жоғалуына', 'жауапты', 'адамдардың', 'барлығы', 'сотқа', 'тартылады', 'дегенге', 'сену', 'қиын.'], 'metric': 0.8}",0,"Сауд Арабиясы журналист, “Вашингтон пост” шолушысы Жамал Хашоггидің корольдіктің Стамбұлдағы консулдығында өлтірілгенін мойындағанымен, жүріп жатқан тергеу процесіне қарасақ, оның жоғалуына жауапты адамдардың барлығы сотқа тартылады дегенге сену қиын."
,0,Мұндай оқиғаларда қылмыскердің жазасыз қалуы – жауаптылық пен демократияның жегі құрты.
"{'verbs': [{'verb': 'жұмыс', 'description': {'V': 'жұмыс'}, 'tags': ['O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Тілші', 'тиімді', 'жұмыс', 'істеуі', 'үшін', 'заңның', 'үстемдігі', 'болуы', 'керек.'], 'metric': 0.5}",0,Тілші тиімді жұмыс істеуі үшін заңның үстемдігі болуы керек.
"{'verbs': [{'verb': '', 'description': {'Arg(субъект ментального состояния)': 'ешкімнің', 'Arg(агенс)': 'ешкімнің', 'Arg(потенциальный пациенс)': 'өзін'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(потенциальный пациенс)', 'Arg(субъект ментального состояния)', 'O', 'O', 'O', 'O']}], 'words': ['Құқық', 'қорғау', 'органдары', 'мен', 'сот', 'ұйымдасқан', 'қылмыскерлерге', 'кіріптар', 'болса,', 'қылмыскерлер', 'мен', 'жемқор', 'басшылардың', 'мүддесіне', 'қайшы', 'келетін', 'жайттарды', 'қазбалаған', 'журналист', 'өзін', 'ешкімнің', 'қорғай', 'алмайтынын', 'жақсы', 'біледі.'], 'metric': 0.5}",0,"Құқық қорғау органдары мен сот ұйымдасқан қылмыскерлерге кіріптар болса, қылмыскерлер мен жемқор басшылардың мүддесіне қайшы келетін жайттарды қазбалаған журналист өзін ешкімнің қорғай алмайтынын жақсы біледі."
"{'verbs': [{'verb': 'ашылмай', 'description': {'V': 'ашылмай'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Мұның', 'салдарын', 'үлкен', 'ауқымдағы', 'картель', 'қылмыстары', 'мүлде', 'ашылмай', 'жатқан', 'Мексика', 'сияқты', 'елдерден', 'байқауға', 'болады.'], 'metric': 0.5}",0,Мұның салдарын үлкен ауқымдағы картель қылмыстары мүлде ашылмай жатқан Мексика сияқты елдерден байқауға болады.
