,srl_ba,result_srl_kk,preds_kk,sentence,sent_len
0,"{'verbs': [{'verb': 'күрә', 'description': {'V': 'күрә', 'Arg(субъект ментального состояния)': 'кемдәр', 'Arg(эталон)': 'кемдәр', 'Arg(стимул)': 'донъяны'}, 'tags': ['O', 'V', 'O', 'Arg(субъект ментального состояния)', 'O', 'O', 'O', 'O', 'O', 'Arg(стимул)', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Шуға', 'күрә', 'мин', 'кемдәр', 'иҫ', 'киткес', 'ғәҙәти', 'күренеш,', 'улар', 'донъяны', 'бик', 'яҡшы', 'күрә', 'һәм', 'етешһеҙлектәрҙе', 'һанға', 'һуҡмай', 'тип', 'уйланым.'], 'metric': 1.0}","{'verbs': [{'verb': '', 'description': {'ARGM-DIS': 'Шуға', 'ARG0': 'мин уйланым', 'V': '', 'ARG1': 'кемдәр улар яҡшы етешһеҙлектәрҙе күрә күренеш донъяны бик һәм'}, 'tags': ['ARGM-DIS', 'ARG1', 'ARG0', 'ARG1', 'O', 'O', 'O', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'O', 'O', 'O', 'ARG0']}, {'verb': '', 'description': {'R-ARG1': 'кемдәр', 'V': '', 'ARG2': 'улар яҡшы етешһеҙлектәрҙе кемдәр күрә күренеш донъяны бик һәм'}, 'tags': ['O', 'ARG2', 'O', 'R-ARG1', 'O', 'O', 'O', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'ARG2', 'O', 'O', 'O', 'O']}, {'verb': 'күрә күренеш', 'description': {'ARG0': 'улар яҡшы етешһеҙлектәрҙе кемдәр', 'R-ARG0': 'кемдәр', 'V': 'күрә күренеш', 'ARG1': 'донъяны', 'ARGM-MNR': 'бик яҡшы'}, 'tags': ['O', 'V', 'O', 'ARG0', 'O', 'O', 'O', 'V', 'ARG0', 'ARG1', 'ARGM-MNR', 'ARG0', 'V', 'O', 'ARG0', 'O', 'O', 'O', 'O']}, {'verb': '', 'description': {'ARG0': 'улар яҡшы етешһеҙлектәрҙе кемдәр', 'R-ARG0': 'кемдәр', 'V': '', 'ARG1': 'донъяны'}, 'tags': ['O', 'O', 'O', 'ARG0', 'O', 'O', 'O', 'O', 'ARG0', 'ARG1', 'O', 'ARG0', 'O', 'O', 'ARG0', 'O', 'O', 'O', 'O']}], 'words': ['Шуға', 'күрә', 'мин', 'кемдәр', 'иҫ', 'киткес', 'ғәҙәти', 'күренеш,', 'улар', 'донъяны', 'бик', 'яҡшы', 'күрә', 'һәм', 'етешһеҙлектәрҙе', 'һанға', 'һуҡмай', 'тип', 'уйланым.']}",0.0,"Шуға күрә мин кемдәр иҫ киткес ғәҙәти күренеш, улар донъяны бик яҡшы күрә һәм етешһеҙлектәрҙе һанға һуҡмай тип уйланым.",19
1,"{'verbs': [{'verb': 'торғанда', 'description': {'V': 'торғанда', 'Arg(эталон)': 'торошта.', 'Arg(цель)': 'өлөшө', 'Arg(тема)': 'проценты', 'Arg(пациенс)': 'өлөшө', 'Arg(предмет мысли)': 'мәғлүмәттәренә'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'Arg(тема)', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'Arg(цель)', 'O', 'O', 'O', 'Arg(цель)', 'O', 'O', 'Arg(предмет мысли)', 'O', 'O', 'O', 'Arg(эталон)']}], 'words': ['Әммә', 'килеме', 'түбән', 'булған', 'кешеләрҙең', '90', 'проценты', 'сирек', 'быуат', 'дауамында', 'торғонлоҡта', 'торғанда', '(һәм', 'байтаҡ', 'өлөшө', 'кәмей),', 'илдең', 'күпселек', 'өлөшө,', 'һаулыҡ', 'һаҡлау', 'мәғлүмәттәренә', 'мөрәжәғәт', 'итһәң,', 'насар', 'торошта.'], 'metric': 1.0}","{'verbs': [{'verb': '', 'description': {'ARG1': 'проценты кешеләрҙең', 'V': '', 'ARGM-TMP': 'кешеләрҙең илдең'}, 'tags': ['O', 'O', 'O', 'O', 'ARG1', 'O', 'ARG1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ARGM-TMP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}, {'verb': '', 'description': {'ARG1': 'күпселек түбән проценты', 'V': ''}, 'tags': ['O', 'O', 'ARG1', 'O', 'O', 'O', 'ARG1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ARG1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}, {'verb': '', 'description': {'ARG1': 'күпселек түбән проценты', 'V': ''}, 'tags': ['O', 'O', 'ARG1', 'O', 'O', 'O', 'ARG1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ARG1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}, {'verb': '', 'description': {'ARG0': 'итһәң', 'V': '', 'ARG1': ''}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ARG0', 'O', 'O']}, {'verb': '', 'description': {'ARGM-DIS': 'Әммә', 'ARGM-ADV': 'итһәң', 'ARG1': 'күпселек', 'V': '', 'ARG2': 'булған'}, 'tags': ['ARGM-DIS', 'O', 'O', 'ARG2', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ARG1', 'O', 'O', 'O', 'O', 'O', 'ARGM-ADV', 'O', 'O']}], 'words': ['Әммә', 'килеме', 'түбән', 'булған', 'кешеләрҙең', '90', 'проценты', 'сирек', 'быуат', 'дауамында', 'торғонлоҡта', 'торғанда', '(һәм', 'байтаҡ', 'өлөшө', 'кәмей),', 'илдең', 'күпселек', 'өлөшө,', 'һаулыҡ', 'һаҡлау', 'мәғлүмәттәренә', 'мөрәжәғәт', 'итһәң,', 'насар', 'торошта.']}",0.0,"Әммә килеме түбән булған кешеләрҙең 90 проценты сирек быуат дауамында торғонлоҡта торғанда (һәм байтаҡ өлөшө кәмей), илдең күпселек өлөшө, һаулыҡ һаҡлау мәғлүмәттәренә мөрәжәғәт итһәң, насар торошта.",26
2,"{'verbs': [{'verb': 'билдәһеҙ', 'description': {'V': 'билдәһеҙ', 'Arg(тема)': '-'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'V', 'O']}], 'words': ['Ниндәй', 'сәйәсмәндәр', 'үткәрергә', 'Трамп,', 'ниндәй', 'улар', 'уңышлы', 'булыр', 'йәки', 'ниндәй', 'эҙемтәләре', 'булыр', '-', 'былар', 'барыһы', 'ла', 'билдәһеҙ', 'ҡала.'], 'metric': 1.0}","{'verbs': [{'verb': '', 'description': {'ARG1': 'Ниндәй ниндәй эҙемтәләре', 'ARG0': 'Трамп', 'ARGM-MOD': 'булыр', 'V': ''}, 'tags': ['ARG1', 'O', 'O', 'ARG0', 'ARG1', 'O', 'O', 'ARGM-MOD', 'O', 'ARG1', 'ARG1', 'ARGM-MOD', 'ARG1', 'O', 'O', 'O', 'O', 'O']}, {'verb': 'булыр', 'description': {'ARG1': 'улар', 'ARGM-MOD': 'булыр', 'V': 'булыр', 'ARG2': 'уңышлы'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'ARG1', 'ARG2', 'ARGM-MOD', 'O', 'O', 'O', 'ARGM-MOD', 'ARG1', 'O', 'O', 'ARG1', 'O', 'O']}, {'verb': 'булыр', 'description': {'ARG2': 'Ниндәй ниндәй', 'ARG1': 'эҙемтәләре', 'ARGM-MOD': 'булыр', 'V': 'булыр'}, 'tags': ['ARG2', 'O', 'O', 'O', 'ARG2', 'O', 'O', 'ARGM-MOD', 'O', 'ARG2', 'ARG1', 'ARGM-MOD', 'ARG2', 'O', 'O', 'O', 'O', 'O']}, {'verb': '', 'description': {'ARG3': '', 'ARG1': 'былар барыһы', 'V': ''}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ARG3', 'ARG1', 'ARG1', 'ARG1', 'O', 'O']}], 'words': ['Ниндәй', 'сәйәсмәндәр', 'үткәрергә', 'Трамп,', 'ниндәй', 'улар', 'уңышлы', 'булыр', 'йәки', 'ниндәй', 'эҙемтәләре', 'булыр', '-', 'былар', 'барыһы', 'ла', 'билдәһеҙ', 'ҡала.']}",1.0,"Ниндәй сәйәсмәндәр үткәрергә Трамп, ниндәй улар уңышлы булыр йәки ниндәй эҙемтәләре булыр - былар барыһы ла билдәһеҙ ҡала.",18
3,"{'verbs': [{'verb': 'ҡайта', 'description': {'V': 'ҡайта', 'Arg(конечная точка)': 'балансҡа'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'Arg(конечная точка)', 'O', 'V', 'Arg(конечная точка)']}], 'words': ['Ә', 'Был', 'Ваҡытҡа', 'Американың', 'сауҙа', 'иҫәбе', 'балансҡа', 'әйләнеп', 'ҡайта', 'ала.'], 'metric': 1.0}","{'verbs': [{'verb': 'ала', 'description': {'ARGM-TMP': 'Был', 'ARG1': 'балансҡа', 'V': 'ала', 'ARG2': 'ала'}, 'tags': ['O', 'ARGM-TMP', 'O', 'O', 'O', 'O', 'ARG1', 'O', 'O', 'ARG1']}, {'verb': '', 'description': {'ARG1': 'балансҡа', 'V': '', 'ARG4': ''}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'ARG1', 'O', 'O', 'ARG1']}], 'words': ['Ә', 'Был', 'Ваҡытҡа', 'Американың', 'сауҙа', 'иҫәбе', 'балансҡа', 'әйләнеп', 'ҡайта', 'ала.']}",1.0,Ә Был Ваҡытҡа Американың сауҙа иҫәбе балансҡа әйләнеп ҡайта ала.,10
4,"{'verbs': [{'verb': 'килтерәсәк,', 'description': {'V': 'килтерәсәк,', 'Arg(результат)': 'ҡотолғоһоҙ'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(результат)', 'O', 'V']}], 'words': ['Был', 'милли', 'һаҡсыллыҡты', 'артабан', 'ҡыҫҡартыуға', 'килтерәсәк,', 'был', 'иһә', 'норманан', 'күпкә', 'юғары', 'булған', 'сауҙа', 'дефицитының', 'ҡотолғоһоҙ', 'артыуына', 'килтерәсәк.'], 'metric': 1.0}","{'verbs': [{'verb': '', 'description': {'ARG0': 'Был был', 'ARGM-MOD': '', 'V': '', 'ARG2': 'артабан күпкә артыуына килтерәсәк дефицитының юғары норманан'}, 'tags': ['ARG0', 'O', 'O', 'ARG2', 'O', 'ARG2', 'ARG0', 'O', 'ARG2', 'ARG2', 'ARG2', 'O', 'O', 'ARG2', 'O', 'ARG2', 'ARG2']}, {'verb': 'артабан артыуына', 'description': {'ARG0': 'артабан күпкә артыуына', 'R-ARG0': 'килтерәсәк', 'ARGM-MOD': '', 'ARGM-ADV': 'артабан килтерәсәк', 'V': 'артабан артыуына', 'ARG1': 'дефицитының', 'ARG2': 'күпкә юғары артабан артыуына норманан'}, 'tags': ['O', 'O', 'O', 'ARG0', 'O', 'R-ARG0', 'O', 'O', 'ARG2', 'ARG0', 'ARG2', 'O', 'O', 'ARG1', 'O', 'ARG0', 'R-ARG0']}], 'words': ['Был', 'милли', 'һаҡсыллыҡты', 'артабан', 'ҡыҫҡартыуға', 'килтерәсәк,', 'был', 'иһә', 'норманан', 'күпкә', 'юғары', 'булған', 'сауҙа', 'дефицитының', 'ҡотолғоһоҙ', 'артыуына', 'килтерәсәк.']}",0.0,"Был милли һаҡсыллыҡты артабан ҡыҫҡартыуға килтерәсәк, был иһә норманан күпкә юғары булған сауҙа дефицитының ҡотолғоһоҙ артыуына килтерәсәк.",17
5,"{'verbs': [{'verb': 'барлыҡҡа', 'description': {'V': 'барлыҡҡа', 'Arg(статус)': 'проблемаһы', 'Arg(тема)': 'яҡлы'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'Arg(тема)', 'O', 'O', 'O', 'Arg(статус)', 'O', 'O', 'O']}], 'words': ['Ул', 'ҡытай', 'һәм', 'Мексика', 'кеүек', 'илдәргә', 'айырым', 'иғтибар', 'бүлә,', 'Унда', 'сауҙа', 'дефициты', 'барлыҡҡа', 'килә,', 'был', 'ике', 'яҡлы', 'дефицит', 'америкала', 'тупланыу', 'проблемаһы', 'билдәһе', 'булып', 'тора.'], 'metric': 1.0}","{'verbs': [{'verb': '', 'description': {'ARG0': 'Ул', 'V': '', 'ARG1': 'айырым', 'ARG2': 'илдәргә бүлә һәм ҡытай Мексика килә барлыҡҡа булып иғтибар проблемаһы дефициты'}, 'tags': ['ARG0', 'ARG2', 'ARG2', 'ARG2', 'O', 'ARG2', 'ARG1', 'ARG2', 'ARG2', 'O', 'O', 'ARG2', 'ARG2', 'ARG2', 'O', 'O', 'O', 'ARG2', 'O', 'O', 'ARG2', 'O', 'ARG2', 'O']}, {'verb': 'булып', 'description': {'ARGM-LOC': 'илдәргә бүлә һәм ҡытай Мексика', 'R-ARGM-LOC': 'килә', 'V': 'булып', 'ARG1': '', 'ARGM-ADV': 'булып иғтибар проблемаһы дефициты'}, 'tags': ['O', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'O', 'ARGM-LOC', 'O', 'ARGM-ADV', 'ARGM-LOC', 'O', 'O', 'ARGM-ADV', 'O', 'R-ARGM-LOC', 'O', 'O', 'O', 'ARGM-ADV', 'O', 'O', 'ARGM-ADV', 'O', 'V', 'O']}, {'verb': 'булып', 'description': {'ARG1': '', 'R-ARG1': '', 'V': 'булып', 'ARG2': 'иғтибар проблемаһы дефициты'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'ARG2', 'O', 'O', 'O', 'ARG2', 'O', 'O', 'O', 'O', 'O', 'ARG2', 'O', 'O', 'ARG2', 'O', 'V', 'O']}], 'words': ['Ул', 'ҡытай', 'һәм', 'Мексика', 'кеүек', 'илдәргә', 'айырым', 'иғтибар', 'бүлә,', 'Унда', 'сауҙа', 'дефициты', 'барлыҡҡа', 'килә,', 'был', 'ике', 'яҡлы', 'дефицит', 'америкала', 'тупланыу', 'проблемаһы', 'билдәһе', 'булып', 'тора.']}",0.0,"Ул ҡытай һәм Мексика кеүек илдәргә айырым иғтибар бүлә, Унда сауҙа дефициты барлыҡҡа килә, был ике яҡлы дефицит америкала тупланыу проблемаһы билдәһе булып тора.",24
6,"{'verbs': [{'verb': 'йәки', 'description': {'V': 'йәки', 'Arg(причина)': 'фаразды'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(причина)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['Трамптың', 'иҡтисади', 'сәйәсәт', 'буйынса', 'өлкән', 'советниктары', 'питер', 'Наварро', 'Һәм', 'Уилбур', 'Росс', 'сентябрҙә', 'төҙөлгән', 'позицияларын', 'күрһәтеү', 'тураһындағы', 'меморандумда', 'улар', 'был', 'фаразды', 'ғәмәлдә', 'түгел,', 'сөнки', 'ул', 'норматив', 'һәм', 'энергетик', 'реформаларҙан', 'алынған', 'килемде', 'йәки', 'Америка', 'сауҙа', 'дефицитының', 'ҡырҡа', 'кәмеүе', 'һөҙөмтәһендә', 'алынған', 'өҫтәмә', 'килемде', 'иҫәпкә', 'алмай.'], 'metric': 1.0}","{'verbs': [{'verb': '', 'description': {'ARG0': 'иҡтисади советниктары энергетик сәйәсәт питер Наварро Һәм һәм йәки Уилбур', 'V': '', 'ARG1': 'был сәйәсәт', 'ARGM-LOC': 'меморандумда позицияларын тураһындағы улар төҙөлгән алынған', 'ARGM-CAU': 'был түгел алмай позицияларын дефицитының реформаларҙан энергетик һөҙөмтәһендә Һәм һәм йәки алынған тураһындағы ҡырҡа Америка сауҙа'}, 'tags': ['O', 'ARG0', 'ARG0', 'O', 'O', 'ARG0', 'ARG0', 'ARG0', 'ARG0', 'ARG0', 'O', 'O', 'ARGM-LOC', 'ARGM-LOC', 'O', 'ARGM-LOC', 'ARGM-LOC', 'ARGM-LOC', 'ARG1', 'O', 'O', 'ARGM-CAU', 'O', 'ARGM-LOC', 'O', 'ARG0', 'ARG0', 'ARGM-CAU', 'ARGM-LOC', 'O', 'ARG0', 'ARGM-CAU', 'ARGM-CAU', 'ARGM-CAU', 'ARGM-CAU', 'O', 'ARGM-CAU', 'ARGM-LOC', 'O', 'O', 'O', 'ARGM-CAU']}, {'verb': 'төҙөлгән алынған', 'description': {'ARG1': 'меморандумда позицияларын тураһындағы улар', 'V': 'төҙөлгән алынған', 'ARGM-TMP': ''}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'ARG1', 'O', 'ARG1', 'ARG1', 'ARG1', 'O', 'O', 'O', 'O', 'O', 'ARG1', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O']}, {'verb': '', 'description': {'ARG0': 'был', 'ARGM-NEG': 'түгел алмай', 'V': '', 'ARG2': '', 'ARG1': 'позицияларын дефицитының реформаларҙан энергетик һөҙөмтәһендә Һәм һәм йәки алынған тураһындағы ҡырҡа Америка сауҙа'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ARG1', 'O', 'O', 'O', 'O', 'ARG1', 'O', 'ARG1', 'O', 'O', 'ARG0', 'O', 'O', 'ARGM-NEG', 'O', 'O', 'O', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'O', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'ARG1', 'O', 'ARG1', 'ARG1', 'O', 'O', 'O', 'ARGM-NEG']}, {'verb': 'алынған', 'description': {'ARG1': 'позицияларын дефицитының', 'V': 'алынған', 'ARGM-CAU': 'тураһындағы позицияларын ҡырҡа дефицитының Америка сауҙа'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ARG1', 'O', 'ARGM-CAU', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'ARGM-CAU', 'ARGM-CAU', 'ARG1', 'ARGM-CAU', 'O', 'O', 'V', 'O', 'O', 'O', 'O']}], 'words': ['Трамптың', 'иҡтисади', 'сәйәсәт', 'буйынса', 'өлкән', 'советниктары', 'питер', 'Наварро', 'Һәм', 'Уилбур', 'Росс', 'сентябрҙә', 'төҙөлгән', 'позицияларын', 'күрһәтеү', 'тураһындағы', 'меморандумда', 'улар', 'был', 'фаразды', 'ғәмәлдә', 'түгел,', 'сөнки', 'ул', 'норматив', 'һәм', 'энергетик', 'реформаларҙан', 'алынған', 'килемде', 'йәки', 'Америка', 'сауҙа', 'дефицитының', 'ҡырҡа', 'кәмеүе', 'һөҙөмтәһендә', 'алынған', 'өҫтәмә', 'килемде', 'иҫәпкә', 'алмай.']}",0.0,"Трамптың иҡтисади сәйәсәт буйынса өлкән советниктары питер Наварро Һәм Уилбур Росс сентябрҙә төҙөлгән позицияларын күрһәтеү тураһындағы меморандумда улар был фаразды ғәмәлдә түгел, сөнки ул норматив һәм энергетик реформаларҙан алынған килемде йәки Америка сауҙа дефицитының ҡырҡа кәмеүе һөҙөмтәһендә алынған өҫтәмә килемде иҫәпкә алмай.",42
7,"{'verbs': [{'verb': 'туплана.', 'description': {'V': 'туплана.', 'Arg(тема)': 'сәйәсәттәр'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'Arg(тема)', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V']}], 'words': ['Инфляция', 'хроник', 'күренеш', 'тип', 'ҡарала,', 'һәм', 'сәйәсәттәр', 'хаҡтар', 'менән', 'идара', 'итеүгә', 'һәм', 'килем', 'сәйәсәтенә', 'туплана.'], 'metric': 1.0}","{'verbs': [{'verb': 'күренеш', 'description': {'ARG1': 'Инфляция', 'V': 'күренеш', 'ARG2': 'хроник'}, 'tags': ['ARG1', 'ARG2', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}, {'verb': 'ҡарала туплана', 'description': {'ARG0': 'policy тип', 'V': 'ҡарала туплана', 'ARG2': 'менән һәм policy тип'}, 'tags': ['O', 'O', 'O', 'ARG0', 'V', 'ARG2', 'O', 'O', 'ARG2', 'O', 'O', 'ARG2', 'O', 'O', 'V']}], 'words': ['Инфляция', 'хроник', 'күренеш', 'тип', 'ҡарала,', 'һәм', 'сәйәсәттәр', 'хаҡтар', 'менән', 'идара', 'итеүгә', 'һәм', 'килем', 'сәйәсәтенә', 'туплана.']}",1.0,"Инфляция хроник күренеш тип ҡарала, һәм сәйәсәттәр хаҡтар менән идара итеүгә һәм килем сәйәсәтенә туплана.",15
8,"{'verbs': [{'verb': 'кәмеүе', 'description': {'V': 'кәмеүе', 'Arg(место)': 'илдә'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(место)', 'O', 'O', 'O', 'O', 'V', 'O']}], 'words': ['1962', 'һәм', '1986', 'йылдар', 'араһында,', 'һүрәттә', 'күрһәтелеүенсә,', 'алдынғы', 'иҡтисадлы', 'бер', 'илдә', 'лә', 'хаҡтарҙың', 'йыл', 'һайын', 'кәмеүе', 'теркәлмәгән.'], 'metric': 1.0}","{'verbs': [{'verb': 'күрһәтелеүенсә', 'description': {'V': 'күрһәтелеүенсә', 'ARGM-LOC': ''}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}, {'verb': 'күрһәтелеүенсә', 'description': {'ARGM-TMP': 'араһында күрһәтелеүенсә алдынғы һәм', 'ARGM-ADV': 'күрһәтелеүенсә', 'ARG1': 'һайын теркәлмәгән йыл', 'V': 'күрһәтелеүенсә', 'ARGM-LOC': 'бер һайын илдә'}, 'tags': ['O', 'ARGM-TMP', 'O', 'O', 'ARGM-TMP', 'O', 'ARGM-TMP', 'ARGM-TMP', 'O', 'ARGM-LOC', 'ARGM-LOC', 'O', 'O', 'ARG1', 'ARG1', 'O', 'ARG1']}, {'verb': '', 'description': {'V': '', 'ARG1': ''}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}], 'words': ['1962', 'һәм', '1986', 'йылдар', 'араһында,', 'һүрәттә', 'күрһәтелеүенсә,', 'алдынғы', 'иҡтисадлы', 'бер', 'илдә', 'лә', 'хаҡтарҙың', 'йыл', 'һайын', 'кәмеүе', 'теркәлмәгән.']}",1.0,"1962 һәм 1986 йылдар араһында, һүрәттә күрһәтелеүенсә, алдынғы иҡтисадлы бер илдә лә хаҡтарҙың йыл һайын кәмеүе теркәлмәгән.",17
9,"{'verbs': [{'verb': 'кәметте,', 'description': {'V': 'кәметте,', 'Arg(агенс)': 'инфляция', 'Arg(пациенс)': 'йөкләмәләрҙе'}, 'tags': ['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'Arg(агенс)', 'Arg(пациенс)', 'O', 'V', 'O', 'O']}], 'words': ['Артабанғы', 'йылдарҙа', 'дефляция', 'кимәле', 'һуғыштан', 'һуңғы', 'үлсәмдәр', 'буйынса', 'юғары', 'була,', 'һәм', 'күп', 'үҙәк', 'банктар,', 'бик', 'ябай', 'инфляция', 'йөкләмәләрҙе', '2%', 'кәметте,', 'тип', 'ныҡыша.'], 'metric': 1.0}","{'verbs': [{'verb': 'Артабанғы һуңғы', 'description': {'V': 'Артабанғы һуңғы', 'ARG1': ''}, 'tags': ['V', 'O', 'O', 'O', 'O', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']}, {'verb': 'була', 'description': {'ARGM-TMP': 'Артабанғы һуңғы', 'ARG1': 'дефляция инфляция', 'V': 'була', 'ARG2': 'юғары', 'ARGM-PRD': ''}, 'tags': ['ARGM-TMP', 'O', 'ARG1', 'O', 'O', 'ARGM-TMP', 'O', 'O', 'ARG2', 'V', 'O', 'O', 'O', 'O', 'O', 'O', 'ARG1', 'O', 'O', 'O', 'O', 'O']}, {'verb': '', 'description': {'ARG0': 'күп үҙәк банктар', 'V': '', 'ARG1': 'тип дефляция инфляция була йөкләмәләрҙе үлсәмдәр'}, 'tags': ['O', 'O', 'ARG1', 'O', 'O', 'O', 'ARG1', 'O', 'O', 'ARG1', 'O', 'ARG0', 'ARG0', 'ARG0', 'O', 'O', 'ARG1', 'ARG1', 'O', 'O', 'ARG1', 'O']}, {'verb': 'йөкләмәләрҙе', 'description': {'ARG0': 'дефляция инфляция', 'V': 'йөкләмәләрҙе', 'ARG1': 'дефляция үлсәмдәр инфляция йөкләмәләрҙе', 'ARG2': ''}, 'tags': ['O', 'O', 'ARG0', 'O', 'O', 'O', 'ARG1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'ARG0', 'V', 'O', 'O', 'O', 'O']}], 'words': ['Артабанғы', 'йылдарҙа', 'дефляция', 'кимәле', 'һуғыштан', 'һуңғы', 'үлсәмдәр', 'буйынса', 'юғары', 'була,', 'һәм', 'күп', 'үҙәк', 'банктар,', 'бик', 'ябай', 'инфляция', 'йөкләмәләрҙе', '2%', 'кәметте,', 'тип', 'ныҡыша.']}",1.0,"Артабанғы йылдарҙа дефляция кимәле һуғыштан һуңғы үлсәмдәр буйынса юғары була, һәм күп үҙәк банктар, бик ябай инфляция йөкләмәләрҙе 2% кәметте, тип ныҡыша.",22
