	kk	ba	en	ru	tt	en_original
0	Трамптық белгісіздік	Билдәһеҙлек Трамп	Trump uncertainty	Неопределенность Трампа	Трампның Билгесезлеге	Trumpian Uncertainty
1	НЬЮ-ЙОРК – Әрбір қаңтар айында, мен алдағы жылға арналған болжамды дайындай бастаймын.	НЬЮ - ЙОРК-һәр ғинуар, һәм мин алдағы йылға прогноз әҙерләй башлайым.	New York-every January, I start preparing a forecast for the coming year.	НЬЮ-ЙОРК - каждый январь, и я начинаю готовить прогноз на предстоящий год.	Нью - ЙОРК-һәр гыйнвар, һәм мин киләсе елга фараз ясый башлыйм.	NEW YORK – Every January, I try to craft a forecast for the coming year.
2	Экономикалық болжау дайындау оңай іс емес; алайда, Гарри Трумэннің бір қолды экономисттердің болуына (екінші жағынан деп айта алмайтын) өтінішінде шындықтың барына қарамастан, менің болжамдарым дұрыс болды деп айта аламын.	Иҡтисади прогноздар әҙерләү-ябай булмаған бурыс; Әммә гарри Трумэндың бер ҡуллы иҡтисадсылар тураһында белдереүендә (икенсе яҡтан, тип әйтә алмаған) дөрөҫлөк өлөшө булыуына ҡарамаҫтан, минең фараздарым дөрөҫ булды тип әйтә алам.	Preparing economic forecasts is not an easy task; however, despite the fact that there is truth in Harry Truman's request to have one-handed economists (who cannot say that on the other hand), I can say that my predictions were correct.	Подготовка экономических прогнозов-непростая задача; однако я могу сказать, что мои прогнозы были правильными, несмотря на то, что в заявлении Гарри Трумэна о существовании одноруких экономистов (которые не могут сказать, что с другой стороны) есть доля правды.	Икътисади фаразлар әзерләү җиңел эш түгел; шулай да, мин әйтә алам, Гарри Труманның бер куллы икътисадчылар булуына карамастан (икенче яктан әйтә алмыйлар), Минем фаразларым дөрес иде.	Economic forecasting is notoriously difficult; but, notwithstanding the truth expressed in Harry Truman’s request for a one-armed economist (who wouldn’t be able to say “on the other hand”), my record has been credible.
3	Соңғы жылдары, мен күшті фискалдық ынталандыру болмаған жағдайда, (Еуропада немесе Америка Құрама Штаттарында жақын арада болжанбаған) 2008 жылдың Ұлы құлдырауынан сауығу баяу болады деп дұрыс таптым.	Һуңғы йылдарҙа мин, европала йәки Ҡушма Штаттарҙа оҙаҡламай фискаль стимулдарҙың булмауына инандым, тип уйлайым 2008 Йылғы Бөйөк рецессиянан һауығыу яй буласаҡ.	In recent years, I have rightly found that in the absence of strong fiscal stimulus (not foreseen in the near future in Europe or the United States), recovery from the Great Recession of 2008 will be slow.	В последние годы я был прав, полагая, что в отсутствие сильных фискальных стимулов (которые не были предсказаны в Европе или Соединенных Штатах в ближайшее время) выздоровление от Великой рецессии 2008 года будет медленным.	Соңгы елларда мин көчле финанс стимуллары булмаганда (тиздән Европада яки АКШта фаразланмаган) 2008-нче елда Бөек рецессиядән торгызу әкрен булыр дип уйларга хаклы идем.	In recent years, I correctly foresaw that, in the absence of stronger fiscal stimulus (which was not forthcoming in either Europe or the United States), recovery from the Great Recession of 2008 would be slow.
4	Осы болжамдарды жасаған кезде мен кешенді эконометрикалық модельдерге қарағанда базалық экономикалық күштерді талдауға толығырақ сүйенген болатынмын.	Мин был фараздарҙы эшләгәндә, комплекслы эконометрик моделдәргә ҡарағанда, нигеҙле иҡтисади көстәрҙе анализлауға нығыраҡ тырыштым.	When making these forecasts, I relied more on the analysis of basic economic forces than on complex econometric models.	Когда я делал эти прогнозы, я больше полагался на анализ базовых экономических сил, чем на комплексные эконометрические модели.	Бу фаразларны ясаганда, мин эконометрик модельләргә караганда төп икътисади көч анализына күбрәк таяндым.	In making these forecasts, I have relied more on analysis of underlying economic forces than on complex econometric models.
5	Мысалы, 2016 жылдың басында, соңғы бірнеше жыл бойы орын алған жаһандық жиынтық сұраныстың тапшылығының күрт өзгеруі екіталай екені анық көрінді.	Мәҫәлән, 2016 йылдың башында һуңғы бер нисә йылда глобаль ихтыяж дефицитының ҡырҡа үҙгәреүе икеле булыуы асыҡланды.	For example, at the beginning of 2016, it seemed obvious that the global aggregate demand deficit that has occurred over the past few years is unlikely to change dramatically.	Например, в начале 2016 года стало ясно, что резкое изменение глобального дефицита совокупного спроса, которое происходило в течение последних нескольких лет, маловероятно.	Мәсәлән, 2016 елның башында ачыкланды, соңгы берничә ел эчендә булган Глобаль гомуми таләп дефицитының кискен үзгәрүе мөмкин түгел.	For example, at the beginning of 2016, it seemed clear that the deficiencies of global aggregate demand that have been manifest for the last several years were unlikely to change dramatically.
6	Сондықтан, мен әсерлі қалыпқа келуді болжағандар туралы олар әлемді тым жақсы жағынан көріп, кемшіліктерді ескермей жатыр деп ойладым.	Шуға күрә мин кемдәр иҫ киткес ғәҙәти күренеш, улар донъяны бик яҡшы күрә һәм етешһеҙлектәрҙе һанға һуҡмай тип уйланым.	Therefore, I thought about those who predicted an impressive posture that they were seeing the world from too good a side and not taking into account the shortcomings.	Поэтому я подумал о тех, кто предсказал впечатляющую нормальность, что они видят мир слишком хорошо и игнорируют недостатки.	Шуңа күрә мин искиткеч нормальлекне фаразлаган кешеләр турында уйладым, алар дөньяны бик яхшы күрәләр һәм кимчелекләрне санга сукмыйлар.	Thus, I thought that forecasters of a stronger recovery were looking at the world through rose-tinted glasses.
7	Мен күткендей, көптеген экономикалық даму жағдайлары орын алды.	Көтөүемсә, иҡтисади үҫеш бик күп осраҡтар булды.	As I expected, many cases of economic development have occurred.	Как я и ожидал, произошло много случаев экономического развития.	Мин көткәнчә, икътисади үсеш очраклары күп булды.	Economic developments unfolded much as I anticipated.
8	Бірақ, 2016 жылдың саяси оқиғалары олай жайлы болмады.	Әммә 2016 йылдағы сәйәси ваҡиғалар уңайһыҙ булды.	But the political events of 2016 were not so comfortable.	Но политические события 2016 года были не такими уж комфортными.	Ләкин 2016-нчы елда булган сәяси вакыйгалар бик уңайлы түгел иде.	Not so the political events of 2016.
9	Мен, өсіп келе жатқан теңсіздік мәселесі, әсіресе АҚШ-та, сондай-ақ бүкіл әлем бойынша көптеген елдерде, шешілмесе, онда оның саяси салдары болатыны туралы көптеген жылдар бойы жазып келдім.	Әгәр үҫеүсе тигеҙһеҙлек проблемаһы АҠШ-та, шулай уҡ бөтә донъяның күп илдәрендә хәл ителмәһә, ул сәйәси эҙемтәләргә килтерәсәк, тип күп йылдар яҙҙым.	I have written for many years that the problem of growing inequality, especially in the United States, as well as in many countries around the world, if not solved, then it will have political consequences.	Я много лет писал о том, что если проблема растущего неравенства, особенно в США, а также во многих странах по всему миру, не будет решена, то она будет иметь политические последствия.	Мин күп еллар дәвамында тигезсезлек арту проблемасы, аеруча АКШТА, шулай ук бөтен дөнья буенча күп илләрдә чишелмәсә, бу сәяси нәтиҗәләргә китерәчәк дип яздым.	I had been writing for years that unless growing inequality – especially in the US, but also in many countries throughout the world – was addressed, there would be political consequences.
10	Бірақ теңсіздікке байланысты жағдай нашарлай бастады, тіпті АҚШ-та орташа өмір сүру ұзақтығы қысқаруда деген шошынышты деректер де белгілі болды.	ЛӘКИН тигеҙһеҙлек арҡаһында хәл насарая башланы, ҺӘМ хатта АҠШ-та уртаса ғүмер оҙонлоғоноң кәмеүе тураһында шокирующий мәғлүмәттәр билдәле булды.	But the situation with inequality began to deteriorate, and even shocking data became known that the average life expectancy in the United States is shrinking.	Но ситуация начала ухудшаться из-за неравенства, и стали известны даже шокирующие данные о том, что средняя продолжительность жизни в США сокращается.	Ләкин тигезсезлек аркасында хәл начарлана башлады, һәм хәтта АКШТА уртача гомер озынлыгы кими дигән шаккатыргыч мәгълүматлар да билгеле булды.	But inequality continued to worsen – with striking data showing that average life expectancy in the US was on the decline.
11	Энн Кейс және Ангус Дитонның өткен жылғы зерттеуінде айтылғандай, тұрғын халықтың үлкен сегменттерінде өмір сүру ұзақтығы қысқаруда, онын ішінде Американың Тот белдеуінің ашулы ерлері де бар.	Былтырғы Тикшеренеүҙәргә ярашлы, Энн Кейс һәм Ангус Дитон халыҡтың ҙур сегменттарында, Шул иҫәптән Американың Тутыҡ билбауында ғүмер оҙайлығы кәмей.	As noted in last year's study by Ann Case and Angus Deaton, life expectancy is shrinking in large segments of the residential population, including the Angry Men of America's Rust Belt.	Согласно прошлогоднему исследованию Энн Кейс и Ангуса Дитона, продолжительность жизни в больших сегментах населения сокращается, в том числе в ярости американского Ржавого пояса.	Энн Кейс һәм Ангус Дитонның узган елгы тикшеренүләре буенча, халыкның зур сегментларында гомер озынлыгы кими, шул исәптән америка датлы каешының ачуы.	These results were foreshadowed by a study last year, by Anne Case and Angus Deaton, which showed that life expectancy was on the decline for large segments of the population – including America’s so-called angry men of the Rust Belt.
12	Бірақ, табысы төмендердің 90%-ы ғасырдың үштен бірі бойы тоқырауда болған (және елеулі бөлігі төмендеп жатқан) жағдайда, денсаулық сақтау деректеріне жүгінсек, еліміздің өте үлкен бөлігінің жағдайы нашар.	Әммә килеме түбән булған кешеләрҙең 90 проценты сирек быуат дауамында торғонлоҡта торғанда (һәм байтаҡ өлөшө кәмей), илдең күпселек өлөшө, һаулыҡ һаҡлау мәғлүмәттәренә мөрәжәғәт итһәң, насар торошта.	But, given that 90% of low-income people have been in stagnation for a third of a century (and a significant part is declining), a very large part of the country is in poor condition if we turn to health data.	Но в тех случаях, когда 90% людей с низкими доходами находятся в застое на протяжении трети века (и значительная часть снижается), очень большая часть страны находится в плохом состоянии, если обратиться к данным здравоохранения.	Ләкин аз керемле кешеләрнең 90% өченче гасыр дәвамында туктап калган очракта (һәм зур өлеше кими), илнең бик зур өлеше начар хәлдә, әгәр сез сәламәтлек саклау мәгълүматларына мөрәҗәгать итсәгез.	But, with the incomes of the bottom 90% having stagnated for close to a third of a century (and declining for a significant proportion), the health data simply confirmed that things were not going well for very large swaths of the country.
